wavelength_nm,large_diameter_um,middle_diameter_um,small_diameter_um,gap1_um,gap2_um,converged,loss_db_km,characteristic_abs,relative_smin,root_message,target_used_for_selection
1310.0,31.7,23.75,7.0,6.949999999999999,15.75,True,2.2716590618455728,6.4440716517454e-13,5.5746809222323094e-14,The solution converged.,False
1550.0,31.7,23.75,7.0,6.949999999999999,15.75,True,0.8444888904377268,1.2797801858287372e-12,4.7672773124517295e-14,The solution converged.,False
1310.0,31.7,23.75,7.7,6.949999999999999,15.05,True,1.604809657185896,2.1125845447228394e-12,1.6774567993385073e-13,The solution converged.,False
1550.0,31.7,23.75,7.7,6.949999999999999,15.05,True,0.6037021468049195,1.1829390096878016e-12,4.0504888191630174e-14,The solution converged.,False
1310.0,31.7,23.75,8.4,6.949999999999999,14.35,True,1.220178722958733,7.574615526034529e-13,5.332082485810893e-14,The solution converged.,False
1550.0,31.7,23.75,8.4,6.949999999999999,14.35,True,0.46320900958279654,1.5660671943493859e-12,4.6800799909066566e-14,The solution converged.,False
1310.0,31.7,24.8,7.0,5.899999999999999,16.8,True,5.618407093368958,4.161380056164518e-13,4.594470754112112e-14,The solution converged.,False
1550.0,31.7,24.8,7.0,5.899999999999999,16.8,True,2.057811299110391,6.639842573298282e-13,2.975108568000784e-14,The solution converged.,False
1310.0,31.7,24.8,7.7,5.899999999999999,16.1,True,3.3181637305857454,8.66913973175521e-14,8.030721462403021e-15,The solution converged.,False
1550.0,31.7,24.8,7.7,5.899999999999999,16.1,True,1.2418659461651462,9.608890504551154e-13,3.638753577425521e-14,The solution converged.,False
1310.0,31.7,24.8,8.4,5.899999999999999,15.4,True,2.233583612172659,9.031023800027897e-13,6.983247339064384e-14,The solution converged.,False
1550.0,31.7,24.8,8.4,5.899999999999999,15.4,True,0.847828964874815,9.33535510120379e-13,2.909059757678408e-14,The solution converged.,False
