case,launch_power_per_channel_dbm,paper_reference_throughput_tbps,physical_model_throughput_tbps,equivalent_eq1_fit_throughput_tbps,physical_residual_tbps,equivalent_fit_residual_tbps
SMF,-11.0,3.49979559386,41.6984084476,3.50041455243,38.1986128537,0.000618958568703
SMF,-10.0,4.25467318594,43.3579089425,4.25558265169,39.1032357565,0.000909465751044
SMF,-9.0,5.13887173723,44.8782974733,5.14016152038,39.7394257361,0.00128978315413
SMF,-8.0,6.16219273774,46.2522991905,6.16396116211,40.0901064527,0.0017684243718
SMF,-7.0,7.33141684178,47.4768216463,7.33376359449,40.1454048045,0.00234675271545
SMF,-6.0,8.64953443562,48.5529867929,8.65255154193,39.9034523573,0.00301710630877
SMF,-5.0,10.1152793764,49.4857360794,10.119041891,39.3704567029,0.00376251460268
SMF,-4.0,11.7230464685,50.2830469982,11.7276048017,38.5600005297,0.00455833321377
SMF,-3.0,13.4631894322,50.9548578692,13.4685648986,37.491668437,0.00537546639056
SMF,-2.0,15.3226098537,51.5118119987,15.3287941463,36.189202145,0.00618429258147
SMF,-1.0,17.2854852424,51.9638984535,17.292443478,34.6784132111,0.00695823560502
SMF,0.0,19.3339574736,52.3189958815,19.3416336483,32.9850384079,0.00767617473107
SMF,1.0,21.4486021991,52.581236575,21.4569255707,31.1326343758,0.00832337155908
SMF,2.0,23.6084986024,52.7490205037,23.617389652,29.1405219013,0.00889104957128
SMF,3.0,25.7906808856,52.8124510065,25.800055914,27.0217701209,0.00937502840168
SMF,4.0,27.9686386146,52.7499923358,27.9784124883,24.7813537212,0.00977387366999
SMF,5.0,30.1093083366,52.524389179,30.1193953008,22.4150808424,0.0100869642165
SMF,6.0,32.1676700397,52.0785617807,32.1779828671,19.910891741,0.0103128273701
SMF,7.0,34.0778058365,51.333529882,34.0882539954,17.2557240455,0.0104481589045
SMF,8.0,35.7398004121,50.1922150419,35.7502885424,14.4524146297,0.010488130312
SMF,9.0,37.0050206391,48.553641283,37.0154491601,11.5486206439,0.0104285210042
SMF,10.0,37.6708621828,46.3384362874,37.6811311286,8.66757410464,0.0102689457976
SMF,11.0,37.5079252722,43.5174913938,37.5179393771,6.00956612157,0.0100141048675
SMF,12.0,36.33746542,40.1282752466,36.347136444,3.79080982664,0.00967102401769
SMF,13.0,34.1278552637,36.2688474674,34.1371000594,2.14099220368,0.00924479566592
SMF,14.0,31.0286470198,32.0757405187,31.037378048,1.04709349893,0.00873102819429
SMF,15.0,27.3092778619,27.701354989,27.3173818913,0.392077127168,0.0081040294574
SMF,16.0,23.266980941,23.3012323531,23.2742987749,0.0342514120989,0.00731783392281
SMF,17.0,19.1717720968,19.0305306521,19.1781044292,-0.141241444658,0.00633233239575
SMF,18.0,15.2527153834,15.0419706379,15.2578699725,-0.210744745507,0.00515458915386
SMF,19.0,11.6971533926,11.4766670195,11.7010249114,-0.220486373121,0.00387151875705
SMF,20.0,8.64279069074,8.4444593286,8.64543113388,-0.198331362146,0.00264044313882
SMF,21.0,6.16267444821,6.00061900688,6.16429649831,-0.162055441337,0.00162205009555
SMF,22.0,4.25716140464,4.13390079169,4.258061144,-0.123260612946,0.000899739362703
