fiber,alpha_dB_km,D_ps_nm_km,gamma_W_inv_km,modulation,spacing_GHz,net_SE_bit_s_Hz,paper_Lmax_km,paper_required_OSNR_dB_0p1nm,digitization_uncertainty_pct,gn_eta_W_inv2,gn_one_span_nli_W_at_0dBm,ase_one_span_W,gn_Lmax_km,gn_popt_dBm,gn_error_pct,gn_signed_error_pct,required_snr_db
NZDSF,0.22,3.8,1.5,BPSK,32.8,1.5244,3200,12.11,5,3545.7520830241583,3.5457520830241586e-06,2.0424250024002713e-06,3300.0,-1.801974147033833,3.125,3.125,8.027600346881503
NZDSF,0.22,3.8,1.5,BPSK,32.0,1.5625,2900,12.42,5,3746.367098187759,3.7463670981877594e-06,2.0424250024002713e-06,3100.0,-1.8816473602778603,6.896551724137931,6.896551724137931,8.337600346881505
NZDSF,0.22,3.8,1.5,QPSK,50.0,2.0,2700,13.97,4,1694.3773003756646,1.6943773003756647e-06,2.0424250024002713e-06,2800.0,-0.7329800065123573,3.7037037037037033,3.7037037037037033,9.887600346881506
NZDSF,0.22,3.8,1.5,QPSK,38.4,2.6042,2300,14.23,4,2560.5589954770703,2.5605589954770707e-06,2.0424250024002713e-06,2300.0,-1.3307288795727907,0.0,0.0,10.147600346881504
NZDSF,0.22,3.8,1.5,QPSK,35.2,2.8409,2000,14.71,4,3046.4695718050098,3.04646957180501e-06,2.0424250024002713e-06,1900.0,-1.5822690738282918,5.0,-5.0,10.627600346881504
NZDSF,0.22,3.8,1.5,QPSK,33.6,2.9762,1700,15.23,4,3363.4930181764307,3.363493018176431e-06,2.0424250024002713e-06,1600.0,-1.725581359779618,5.88235294117647,-5.88235294117647,11.147600346881504
NZDSF,0.22,3.8,1.5,QPSK,32.8,3.0488,1500,15.69,4,3545.7520830241583,3.5457520830241586e-06,2.0424250024002713e-06,1400.0,-1.801974147033833,6.666666666666667,-6.666666666666667,11.607600346881505
NZDSF,0.22,3.8,1.5,QPSK,32.0,3.125,1300,16.27,5,3746.367098187759,3.7463670981877594e-06,2.0424250024002713e-06,1200.0,-1.8816473602778603,7.6923076923076925,-7.6923076923076925,12.187600346881503
NZDSF,0.22,3.8,1.5,8QAM,50.0,3.0,1000,18.1,5,1694.3773003756646,1.6943773003756647e-06,2.0424250024002713e-06,1000.0,-0.7329800065123573,0.0,0.0,14.017600346881505
NZDSF,0.22,3.8,1.5,8QAM,38.4,3.9063,850,18.56,5,2560.5589954770703,2.5605589954770707e-06,2.0424250024002713e-06,800.0,-1.3307288795727907,5.88235294117647,-5.88235294117647,14.477600346881502
NZDSF,0.22,3.8,1.5,8QAM,35.2,4.2614,600,19.77,6,3046.4695718050098,3.04646957180501e-06,2.0424250024002713e-06,600.0,-1.5822690738282918,0.0,0.0,15.687600346881503
NZDSF,0.22,3.8,1.5,8QAM,33.6,4.4643,400,21.65,7,3363.4930181764307,3.363493018176431e-06,2.0424250024002713e-06,300.0,-1.725581359779618,25.0,-25.0,17.567600346881502
NZDSF,0.22,3.8,1.5,8QAM,32.8,4.5732,300,24.27,8,3545.7520830241583,3.5457520830241586e-06,2.0424250024002713e-06,200.0,-1.801974147033833,33.33333333333333,-33.33333333333333,20.187600346881503
NZDSF,0.22,3.8,1.5,16QAM,50.0,4.0,500,21.2,5,1694.3773003756646,1.6943773003756647e-06,2.0424250024002713e-06,500.0,-0.7329800065123573,0.0,0.0,17.117600346881503
NZDSF,0.22,3.8,1.5,16QAM,38.4,5.2083,400,21.91,5,2560.5589954770703,2.5605589954770707e-06,2.0424250024002713e-06,300.0,-1.3307288795727907,25.0,-25.0,17.827600346881503
NZDSF,0.22,3.8,1.5,16QAM,36.8,5.4348,300,22.42,6,2782.2348586461835,2.782234858646184e-06,2.0424250024002713e-06,300.0,-1.4509255500027871,0.0,0.0,18.337600346881505
NZDSF,0.22,3.8,1.5,16QAM,35.2,5.6818,200,24.65,8,3046.4695718050098,3.04646957180501e-06,2.0424250024002713e-06,100.0,-1.5822690738282918,50.0,-50.0,20.567600346881502
